Model,Overall Detection (%),Macro-F1,Balanced Acc,FPR (%),Latency mean±std (ms),CPU mean±std (%),RAM mean±std (MB),Baseline Latency (ms),Latency Delta (ms),Baseline RAM (MB)
Random_Forest,7.5,0.0889,0.0753,0.00,19.3±14.3,4.5±6.7,389.1±1.2,74.2,-54.9,326.3
Decision_Tree,8.2,0.0000,0.0000,0.00,1.1±0.6,4.0±6.1,115.0±0.2,1.6,-0.5,114.8
Logistic_Regression,100.0,0.1460,0.2923,100.00,1.2±0.6,4.9±9.3,108.3±0.0,1.6,-0.5,108.5
Naive_Bayes,90.3,0.0438,0.1615,77.27,2.9±1.4,4.2±6.0,99.0±0.0,4.8,-1.9,98.9
ANN,90.9,0.0381,0.0657,94.59,0.2±0.1,4.2±7.2,396.7±0.0,0.3,-0.1,396.8
CNN,93.4,0.0351,0.0612,90.00,0.2±0.1,3.6±5.0,393.9±0.0,0.3,-0.1,394.4
